"domain","revenue_sum","total_conversions","valid_revenue_conversions"
"UNKNOWN","630496.2778","3634","3633"
"www.google.com","355283.47","2122","2122"
"www.bing.com","70427.35","414","414"
"r.search.yahoo.com","39656.15","208","208"
"www.sportsmansguide.com","30893.41","200","200"
"search.jimmyjazz.com","20036.66","177","177"
"www.paypal.com","16926.598","173","173"
"outlook.live.com","10674.02","86","86"
"com.google.android.googlequicksearchbox","10258.21","81","81"
"www.googleadservices.com","8018.4","43","43"
"search.yahoo.com","7945.2","55","55"
"365outdoorwear.sportsmansguide.com","7380.67","57","57"
"cas.ny.us.criteo.com","7181.72","41","41"
"www.shopmyexchange.com","5956.83","28","28"
"www.facebook.com","5329.44","32","32"
"search.aol.com","5217.07","33","33"
"www.ebates.com","2898.72","28","28"
"www.partstown.com","2732.77","6","6"
"l.facebook.com","2659.13","15","15"
"tpc.googlesyndication.com","2616.69","10","10"
"truckmonkey.sportsmansguide.com","2521.23","14","14"
"www.promopro.com","2505.52","7","7"
"m.facebook.com","2075.16","16","16"
"www.bradsdeals.com","1824.73","34","34"
"www.offers.com","1780.87","9","9"
"sneakersteal.com","1663.94","18","18"
"cas.sv.us.criteo.com","1628.93","13","13"
"www.affirm.com","1492.65","11","11"
"guide.sportsmansguide.com","1426.45","10","10"
"www.google.ca","1409.48","8","8"
"www.search.com","1355.54","6","6"
"mail.hughes.net","1307.28","1","1"
"search.xfinity.com","1290.96","9","9"
"webmail.powerc.net","1290.1","1","1"
"www.mrrebates.com","1217.66","7","7"
"webmaila.juno.com","1172","8","8"
"lm.facebook.com","1162.81","6","6"
"webmail-classic.windstream.net","1159.22","4","4"
"search.myway.com","1146.78","8","8"
"www.cfahome.com","1090.36","6","6"
"web.mail.comcast.net","978.29","7","7"
"pixel.mathtag.com","941.12","3","3"
"duckduckgo.com","872.54","6","6"
"serv.rosepinks.com","799.32","3","3"
"raisingcanes.aquentsolutions.com","794.81","1","1"
"us-mg5.mail.yahoo.com","774.09","8","8"
"www.math.psu.edu","624.12","1","1"
"www.mammothshopper.com","623.4","6","6"
"ammoseek.com","606.37","8","8"
"m.partstown.com","594.56","2","2"
"mail.verizon.com","594.27","3","3"
"www.usatoday.com","589.11","3","3"
"my.xfinity.com","585.91","8","8"
"webmail.east.cox.net","578.78","1","1"
"www.google.com.au","574.75","2","2"
"www.slickguns.com","554.14","4","4"
"centurylink.net","550.35","3","3"
"solecollector.com","544.3","4","4"
"webmail.etcmail.com","540.01","2","2"
"mobile.wnd.com","497.96","1","1"
"r.duckduckgo.com","474.79","1","1"
"ebm.e.sportsmansguide.com","459.13","3","3"
"www.dogpile.com","452.93","2","2"
"webmail.emily.net","434.65","1","1"
"mail.centurylink.net","434.15","6","6"
"mail2.charter.net","396.81","1","1"
"www.ask.com","394.53","3","3"
"webmailb.juno.com","394.29","3","3"
"www.google.co.ve","379.87","3","3"
"www.cincinnatibell.net","366.56","1","1"
"m.retailmenot.com","364.76","3","3"
"www.amazon.com","362.76","3","3"
"www.retailmenot.com","349.48","3","3"
"www.cheapprice.sale","349.47","1","1"
"email.filson.com","339.56","2","2"
"www.johnstonmurphy.com","331.23","3","3"
