"site_id"	"avg_visitors_per_hour"	"total_visitor_ids"	"first_converted_visitor_id"	"last_converted_visitor_id"	"total_page_views"	"avg_page_views_per_visitor"	"revenue_sum"	"total_conversions"	"valid_revenue_conversions"	"avg_hours_on_site"	"total_hours_on_site"
"%7BSITE_ID%7D"	"1"	"1"	"afc14a47612942f6"	"afc14a47612942f6"	"12"	"12"	"2"	"1"	"1"	"0.0252777777777778"	"0.0252777777777778"
"1000024"	"807.102016250376"	"19370"	"3d95c5ac66a09d33"	"07ec2a3daa89c448"	"113762"	"5.86670108415075"	"72291.36"	"393"	"393"	"0.498854069867493"	"9662.80333333333"
"1000027"	"713.71623029377"	"17128"	"fc7ea5abdc32c515"	"ae8bf4481e5d3b33"	"117095"	"6.83599953292854"	"304394.03"	"1102"	"1102"	"1.11608735209404"	"19116.3441666667"
"1000030"	"210.330616780885"	"5047"	"7357971f41615773"	"d3f99001def29107"	"16508"	"3.26907073509015"	"12829.35"	"30"	"29"	"0.517010490280254"	"2609.35194444444"
"1000034"	"0.343724638373037"	"2"			"55"	"27.5"				"2.86430555555556"	"5.72861111111111"
"1000035"	"1119.55462447482"	"26869"	"615718cd2571b37b"	"273930afe4b72efa"	"262587"	"9.7727120473408"	"84356.43"	"357"	"357"	"0.588214092241782"	"15804.7244444444"
"99954"	"7.61709894555727"	"182"			"309"	"1.6978021978022"				"0.212806776556777"	"38.7308333333333"
"99955"	"0.534898406448498"	"12"			"230"	"19.1666666666667"				"1.95027777777778"	"23.4033333333333"
"999900"	"3955.37911318418"	"94928"	"22966319a124e597"	"88bf3cafd352d865"	"784350"	"8.26128223495702"	"125705.35"	"1166"	"1166"	"1.08192026530049"	"102704.526944444"
"999903"	"6.93528237340775"	"165"			"482"	"2.9030303030303"				"0.255274410774411"	"42.1202777777778"
"999914"	"0.636292223095051"	"9"			"43"	"4.77777777777778"				"0.469845679012346"	"4.22861111111111"
"999929"	"0.262304637691719"	"2"			"2"	"1"				"0"	"0"
"999931"	"25.1459549624687"	"603"	"29b05c10f930f781"	"fc878781dba8afc4"	"629"	"1.04311774461028"	"59234.0958"	"629"	"629"	"0.0312566795651373"	"18.8477777777778"
"999932"	"24.957685084282"	"598"			"1288"	"2.14715719063545"				"0.371295986622074"	"222.035"
"999933"	"53.0913216108905"	"1274"			"2563"	"2.00941915227629"				"0.466371009942439"	"594.156666666667"
"999934"	"42.5612883015628"	"1019"			"1023"	"1.00098135426889"				"0"	"0"
"999936"	"1"	"1"			"1"	"1"				"0"	"0"
"999937"	"179.635395566873"	"4311"			"14384"	"3.33495708652285"				"0.346012139488131"	"1491.65833333333"
"999943"	"57.6300243252635"	"1382"			"2129"	"1.52387843704776"				"0.4239001447178"	"585.83"
"999944"	"1"	"1"			"1"	"1"				"0"	"0"
"99996"	"187.773532476554"	"4505"			"9875"	"2.18912319644839"				"0.208187754347022"	"937.885833333333"
"99997"	"73.8104609970131"	"1771"			"2227"	"1.2540937323546"				"0.132765857331075"	"235.128333333333"
"999974"	"5919.81851641801"	"142074"	"2d6b6c51183cd5a1"	"c87aa55fe88f3137"	"746902"	"5.25713360643045"	"654797.17"	"4283"	"4283"	"0.830739278279082"	"118026.452222222"
"999997"	"26.1011797733258"	"625"			"1802"	"2.8768"				"0.296530666666667"	"185.331666666667"
"undefined"	"0.0891497344080829"	"2"			"12"	"6"				"11.2297222222222"	"22.4594444444444"
"UNKNOWN"		"0"			"622"						
