"lvl2_domain","revenue_sum","total_conversions","valid_revenue_conversions"
"UNKNOWN","630496.2778","3634","3633"
"google.com","355415.07","2125","2125"
"bing.com","70427.35","414","414"
"yahoo.com","49257.04","281","281"
"sportsmansguide.com","42828.38","286","286"
"jimmyjazz.com","20293.5","181","181"
"paypal.com","16926.598","173","173"
"live.com","11655.59","93","93"
"facebook.com","11226.54","69","69"
"android.googlequicksearchbox","10258.21","81","81"
"criteo.com","8810.65","54","54"
"googleadservices.com","8018.4","43","43"
"shopmyexchange.com","5956.83","28","28"
"aol.com","5479.22","38","38"
"partstown.com","3327.33","8","8"
"ebates.com","2898.72","28","28"
"googlesyndication.com","2616.69","10","10"
"promopro.com","2505.52","7","7"
"xfinity.com","1876.87","17","17"
"bradsdeals.com","1824.73","34","34"
"offers.com","1780.87","9","9"
"sneakersteal.com","1663.94","18","18"
"juno.com","1566.29","11","11"
"affirm.com","1492.65","11","11"
"google.ca","1409.48","8","8"
"search.com","1355.54","6","6"
"duckduckgo.com","1347.33","7","7"
"hughes.net","1307.28","1","1"
"powerc.net","1290.1","1","1"
"mrrebates.com","1217.66","7","7"
"windstream.net","1159.22","4","4"
"myway.com","1146.78","8","8"
"cfahome.com","1090.36","6","6"
"centurylink.net","984.5","9","9"
"comcast.net","978.29","7","7"
"mathtag.com","941.12","3","3"
"ask.com","929.44","8","8"
"verizon.com","867.02","4","4"
"rosepinks.com","799.32","3","3"
"aquentsolutions.com","794.81","1","1"
"retailmenot.com","714.24","6","6"
"wnd.com","652.22","2","2"
"cox.net","636.2","2","2"
"psu.edu","624.12","1","1"
"mammothshopper.com","623.4","6","6"
"ammoseek.com","606.37","8","8"
"usatoday.com","589.11","3","3"
"www.google.com.au","574.75","2","2"
"slickguns.com","554.14","4","4"
"solecollector.com","544.3","4","4"
"etcmail.com","540.01","2","2"
"dogpile.com","452.93","2","2"
"emily.net","434.65","1","1"
"cincinnatibell.net","422.56","2","2"
"charter.net","396.81","1","1"
"www.google.co.ve","379.87","3","3"
"amazon.com","362.76","3","3"
"yimg.com","355.67","4","4"
"earthlink.net","352.9","4","4"
"cheapprice.sale","349.47","1","1"
"filson.com","339.56","2","2"
"johnstonmurphy.com","331.23","3","3"
"everyone.net","330.37","1","1"
"peoplepc.com","328.18","3","3"
"zerohedge.com","326.13","1","1"
"searchincognito.com","324.81","2","2"
"www.google.co.kr","315.88","2","2"
"solelinks.com","305.64","2","2"
"ebay.com","304.48","4","4"
"portal","299.78","3","3"
"baidu.com","294.4","1","1"
"stylestar.co","293.97","1","1"
"t.co","293.69","3","3"
"google.cl","291.35","1","1"
"twc.com","291.29","2","2"
"10.10.9.153:15871","281.93","1","1"
"rr.com","279.67","1","1"
"triviatoday.com","278.93","2","2"
"yoursearch.me","272.69","1","1"
"goodsearch.com","271.81","4","4"
"dealmoon.com","260.83","2","2"
"latestcouponcodes.com","239.97","1","1"
"sandcreektelco.com","220.98","1","1"
"patriotnewsdaily.com","214.62","1","1"
"www.google.com.ag","210.84","2","2"
"www.google.com.mx","208.21","2","2"
"google.mn","199.99","1","1"
"wideopenspaces.com","196.91","1","1"
"nbcnews.com","195.55","1","1"
"cheap-r.com","188.97","1","1"
"atlanticbb.net","187.08","1","1"
"maverickblinds.com","186.97","1","1"
"tap.sh","186.11","1","1"
"catalograck.com","185.94","1","1"
"google.as","179.94","1","1"
"google.tt","179.81","1","1"
"bertramwireless.com","176.96","1","1"
"bizpacreview.com","174.95","2","2"
"netscape.com","170.6","2","2"
"ultrafryer.com","166.24","1","1"
"dpdnav.com","161.9","1","1"
"vector-usa.biz","159.77","1","1"
"doubleclick.net","157.35","2","2"
"polarisatvforums.com","156.47","1","1"
"24.246.223.253","153.2","2","2"
"JimmyJazz.com","151.88","2","2"
"niketalk.com","149.82","1","1"
"advantagehunting.com","148.95","1","1"
"www.google.com.co","140.92","1","1"
"rtbtracking.com","140.71","2","2"
"pittcc.edu","139.09","1","1"
"www.google.com.pr","138.4","1","1"
"gunbot.net","137.69","2","2"
"accuweather.com","137.12","2","2"
"instagram.com","134.77","1","1"
"johnsonandmurphy.com","129.79","1","1"
"theblaze.com","129.75","1","1"
"netzero.net","127.61","4","4"
"qcol.net","126.72","1","1"
"myhughesnet.com","124.96","1","1"
"www.google.com.br","122.08","1","1"
"nicekicks.com","121.04","1","1"
"q.com","114.35","1","1"
"chattanoogan.com","112.94","1","1"
"anandtech.com","111.76","1","1"
"bign.com","111.65","1","1"
"savings.com","111.22","1","1"
"mywebsearch.com","108.52","2","2"
"www.google.com.tr","107.14","1","1"
"mediacomcable.com","106.99","1","1"
"outdrs.net","104.95","1","1"
"google.bs","102.94","1","1"
"gwtc.net","101.98","1","1"
"tylerrv.com","100.55","1","1"
"detroitnews.com","99.48","1","1"
"pureleads.com","99.47","1","1"
"funnstyle.com","97.95","1","1"
"bizrate.com","97.7","2","2"
"armstrongmywire.com","94.96","1","1"
"extrabux.com","94.91","2","2"
"breitbart.com","94.14","1","1"
"vtc.net","93.98","1","1"
"core.com","92.51","2","2"
"copthesekicks.com","84.28","2","2"
"thmarine.com","83.92","1","1"
"google.fr","82.95","1","1"
"hoster912.com","75.95","1","1"
"outdoorphotographer.com","74.5","1","1"
"compare99.com","71.97","1","1"
"thesportsmansguide.com","70.97","1","1"
"bendbroadband.com","68.97","1","1"
"cafelamoda.com","66.97","1","1"
"fwmrm.net","64.98","1","1"
"mymailsrvr.com","63.98","1","1"
"backroads.net","63.25","1","1"
"hellowonderful.co","61.6","1","1"
"yucca.net","57.96","1","1"
"10.136.1.100:15871","56.95","1","1"
"www.google.com.do","56.87","2","2"
"sneakadeal.com","54.94","1","1"
"pch.com","53.99","2","2"
"ellijay.com","52.76","1","1"
"doctorofcredit.com","46.98","1","1"
"winloot.com","46.97","1","1"
"hunterswisdom.com","46.97","1","1"
"weather.com","46.96","1","1"
"ar15.com","44.96","1","1"
"hiphopnews24-7.com","43.17","1","1"
"roadrunner.com","42.25","1","1"
"mopopfestival.com","41.82","1","1"
"dkgtrading.com","39.97","1","1"
"offeredby.net","38.98","1","1"
"evoamerica.com","35.97","1","1"
"speedial.com","34.98","1","1"
"medamerica.com","34.68","1","1"
"sneakerwatch.com","30.45","1","1"
"www.google.co.in","30","1","1"
"thegatewaypundit.com","29.97","1","1"
"nornet","26.69","1","1"
"searchlock.com","20.47","1","1"
"kwiktoolusa.com","17.47","1","1"
"theanimalrescuesite.com","16.98","1","1"
"vcdelivery.com","0","1","1"
