"site_id"	"revenue_sum"	"total_conversions"	"valid_revenue_conversions"
"%7BSITE_ID%7D"	"2"	"1"	"1"
"1000030"	"12829.35"	"30"	"29"
"1000035"	"84356.43"	"357"	"357"
"1000024"	"72291.36"	"393"	"393"
"999931"	"59234.0958"	"629"	"629"
"1000027"	"304394.03"	"1102"	"1102"
"999900"	"125705.35"	"1166"	"1166"
"999974"	"654797.17"	"4283"	"4283"
"999934"			
"999929"			
"99996"			
"999944"			
"99954"			
"999936"			
"99955"			
"999903"			
"999933"			
"99997"			
"undefined"			
"1000034"			
"999937"			
"999914"			
"999932"			
"999943"			
"999997"			
